range_km,range_miles,battery_kwh,battery_wh,charge_time_min,charge_time_hours,production_year,num_recalls,is_premium
439.57,,70.82,,37.74,,2021,2,0
437.96,,66.59,,18.99,,2018,0,1
304.23,,76.96,,24.86,,2023,0,0
328.42,,63.15,,84.05,,2022,2,0
408.33,,72.9,,16.19,,2024,0,1
408.26,,63.92,,20.09,,2022,0,1
408.33,,66.0,,61.02,,2018,0,1
591.9,,74.97,,9.4,,2022,1,0
411.4,,74.35,,45.22,,2020,1,1
442.46,,67.83,,23.93,,2024,1,0
432.47,,69.31,,29.13,,2022,0,0
415.83,,57.46,,64.93,,2022,1,0
362.66,,86.03,,209.2,,2021,0,1
421.74,,78.87,,74.8,,2022,1,0
337.49,,78.51,,8.0,,2019,1,1
366.97,,56.05,,10.68,,2022,1,0
353.31,,66.05,,22.16,,2023,1,0
384.5,,68.65,,53.35,,2021,0,0
507.31,,52.69,,29.91,,2021,1,0
277.3,,80.9,,97.47,,2024,1,0
417.74,,86.54,,8.0,,2022,2,0
291.3,,92.62,,12.56,,2022,0,0
354.04,,61.54,,10.4,,2021,1,1
439.89,,73.17,,57.26,,2022,1,0
383.54,,85.23,,26.25,,2019,1,0
320.72,,69.46,,8.0,,2022,0,1
340.66,,66.33,,62.36,,2024,0,0
417.38,,53.34,,18.86,,2020,0,0
339.83,,83.33,,12.67,,2023,1,1
391.91,,71.81,,8.47,,2021,2,1
382.51,,64.71,,122.6,,2018,0,1
344.16,,74.84,,119.61,,2024,0,1
497.92,,73.53,,8.0,,2020,1,1
414.87,,73.68,,11.13,,2021,3,1
268.62,,69.83,,43.63,,2022,1,0
390.25,,88.22,,46.62,,2024,3,1
343.6,,70.66,,22.71,,2022,1,1
426.88,,88.19,,35.3,,2024,1,0
336.41,,77.64,,50.94,,2022,1,1
373.69,,75.51,,126.25,,2020,1,0
407.77,,70.87,,54.24,,2022,1,1
427.62,,81.74,,8.0,,2019,0,1
313.98,,73.13,,53.14,,2019,2,1
361.6,,62.68,,8.0,,2019,1,1
353.88,,62.35,,29.32,,2018,1,0
344.07,,76.22,,31.43,,2020,0,1
477.1,,62.93,,63.26,,2021,1,1
402.27,,71.38,,8.0,,2019,0,0
310.65,,82.57,,87.25,,2018,3,1
430.48,,75.04,,45.79,,2019,1,0
496.72,,64.78,,8.0,,2024,1,0
436.79,,86.1,,8.0,,2022,1,0
296.43,,77.48,,8.0,,2022,0,0
353.37,,82.18,,60.99,,2022,1,0
449.68,,49.32,,8.0,,2022,0,0
341.08,,75.31,,8.0,,2019,1,0
404.41,,80.42,,8.0,,2022,1,1
422.6,,89.0,,34.44,,2024,1,0
329.02,,57.36,,28.73,,2022,1,0
376.73,,84.06,,11.87,,2024,1,1
201.73,,88.44,,120.27,,2020,1,0
323.66,,51.83,,81.05,,2024,1,1
366.11,,76.79,,15.86,,2023,0,1
311.37,,78.18,,27.03,,2023,2,0
469.78,,68.73,,30.55,,2022,2,1
301.34,,67.1,,59.27,,2019,3,1
355.8,,78.68,,23.46,,2023,2,0
387.19,,65.85,,33.21,,2021,1,0
459.27,,69.83,,22.34,,2019,0,0
301.03,,80.12,,60.44,,2020,0,0
443.97,,89.54,,34.09,,2022,0,1
380.56,,77.38,,73.88,,2024,0,1
326.02,,73.33,,8.0,,2022,4,1
405.42,,66.84,,98.56,,2020,0,1
390.95,,61.89,,71.88,,2024,3,0
346.99,,83.1,,71.67,,2018,0,0
383.84,,70.47,,8.0,,2019,1,0
358.81,,83.51,,12.84,,2022,2,0
386.24,,68.7,,164.86,,2019,2,1
416.42,,65.51,,126.05,,2022,1,0
467.23,,76.21,,10.79,,2020,1,0
311.92,,71.23,,23.82,,2023,0,1
497.32,,59.94,,8.0,,2019,1,1
272.64,,90.17,,12.8,,2024,0,0
371.65,,65.73,,8.58,,2023,0,1
412.36,,81.28,,8.0,,2024,3,0
395.45,,80.42,,36.38,,2019,0,0
345.75,,59.41,,11.57,,2022,2,0
368.55,,61.98,,204.07,,2023,1,0
352.88,,68.98,,30.43,,2024,1,1
347.58,,63.34,,18.68,,2022,2,1
426.73,,89.26,,102.64,,2024,2,0
399.64,,70.0,,40.72,,2019,1,0
341.89,,80.9,,8.0,,2022,1,1
429.48,,77.14,,28.93,,2021,0,1
396.9,,74.64,,24.43,,2020,0,0
424.71,,72.4,,60.85,,2021,2,0
414.63,,84.37,,49.7,,2023,3,1
334.41,,63.75,,19.46,,2022,0,0
349.19,,89.26,,26.62,,2020,0,0
421.1,,59.13,,30.72,,2018,0,1
413.57,,79.82,,23.06,,2024,1,0
378.85,,57.95,,8.0,,2021,2,0
386.45,,68.84,,99.06,,2019,0,0
450.27,,72.93,,46.89,,2020,1,1
347.46,,67.13,,26.64,,2021,5,1
410.09,,70.18,,35.41,,2020,1,1
368.88,,58.13,,10.07,,2021,5,1
368.03,,62.13,,31.76,,2020,1,0
440.43,,76.98,,57.56,,2022,0,1
425.4,,72.3,,32.04,,2023,3,1
424.74,,65.09,,27.52,,2018,1,1
451.8,,85.24,,26.07,,2020,1,1
381.16,,59.8,,60.22,,2023,0,0
417.51,,68.38,,58.79,,2020,1,0
362.94,,66.94,,58.24,,2023,2,0
397.83,,78.15,,11.87,,2022,3,0
372.84,,72.48,,40.41,,2024,1,1
385.33,,70.92,,63.39,,2018,1,0
412.73,,53.56,,34.66,,2023,1,1
335.0,,80.65,,63.4,,2022,3,1
495.08,,69.82,,80.93,,2022,0,0
324.67,,73.16,,8.02,,2020,1,1
313.22,,64.51,,15.36,,2020,0,0
443.7,,62.94,,38.62,,2023,2,0
423.54,,86.99,,14.37,,2020,1,0
414.33,,54.27,,119.14,,2022,1,0
414.56,,61.46,,9.07,,2020,1,0
379.33,,86.8,,18.54,,2022,1,1
330.65,,78.41,,217.07,,2021,1,1
384.17,,68.75,,8.81,,2021,2,1
342.76,,84.47,,25.02,,2024,3,0
433.63,,76.47,,15.82,,2018,3,0
371.91,,74.33,,69.71,,2024,4,1
334.6,,74.26,,15.23,,2021,1,0
362.32,,76.65,,8.0,,2022,0,0
402.71,,77.06,,113.61,,2020,0,0
349.0,,93.96,,16.04,,2021,2,1
334.78,,70.05,,56.86,,2022,1,1
393.4,,70.36,,14.42,,2023,0,0
393.47,,59.63,,8.26,,2024,0,0
352.12,,71.48,,68.11,,2024,0,0
354.09,,90.63,,8.0,,2021,2,1
392.76,,81.84,,16.94,,2019,1,1
300.36,,66.56,,63.61,,2024,4,0
302.59,,72.3,,30.14,,2018,2,0
340.49,,59.04,,49.13,,2024,1,0
368.26,,62.31,,8.0,,2018,3,0
397.1,,73.49,,58.19,,2024,1,0
461.14,,67.06,,8.0,,2018,0,0
427.17,,61.55,,69.47,,2018,2,0
371.2,,76.9,,34.88,,2022,2,0
378.95,,71.18,,56.44,,2023,2,1
324.86,,56.32,,10.05,,2021,1,1
378.98,,51.25,,21.14,,2023,0,0
364.12,,66.3,,68.03,,2024,1,0
397.75,,56.12,,101.51,,2023,1,1
334.5,,53.31,,10.79,,2024,1,1
408.56,,83.29,,66.23,,2020,0,0
464.3,,71.02,,8.0,,2020,1,0
374.02,,69.35,,23.3,,2022,3,0
402.09,,70.12,,117.28,,2023,1,0
417.96,,60.62,,121.92,,2019,1,0
357.93,,76.11,,14.78,,2020,1,0
392.33,,70.69,,9.0,,2024,1,0
380.69,,64.43,,8.0,,2018,1,0
385.37,,65.92,,27.54,,2022,4,1
,209.7,59.73,,8.0,,2020,0,1
381.35,,67.94,,18.54,,2023,0,0
407.39,,69.6,,8.0,,2024,1,0
459.81,,67.68,,12.61,,2020,3,1
432.76,,72.55,,96.83,,2022,1,1
498.43,,71.21,,24.88,,2024,1,0
337.8,,74.31,,8.0,,2022,1,0
427.98,,81.43,,43.71,,2023,2,1
390.08,,77.93,,130.84,,2022,1,1
500.44,,81.55,,26.15,,2023,2,0
335.54,,63.52,,41.12,,2024,1,0
333.82,,66.91,,105.78,,2021,0,0
347.03,,78.54,,22.81,,2020,2,1
263.19,,78.71,,45.88,,2024,0,1
351.08,,65.21,,24.41,,2019,1,0
338.25,,78.12,,137.49,,2024,1,1
388.27,,62.56,,29.43,,2024,1,0
398.8,,76.81,,91.08,,2020,4,1
483.19,,71.74,,29.72,,2022,3,1
432.27,,58.16,,46.36,,2019,2,0
348.27,,67.66,,20.5,,2021,2,1
330.59,,93.82,,104.82,,2022,1,1
407.06,,74.03,,43.73,,2022,2,0
307.39,,95.0,,8.0,,2019,1,0
480.73,,57.56,,8.0,,2022,1,1
444.87,,79.51,,47.36,,2023,1,0
354.2,,46.66,,8.0,,2022,2,1
285.78,,72.0,,52.89,,2024,1,0
454.46,,78.31,,16.32,,2024,4,1
373.7,,80.38,,32.52,,2024,0,0
448.08,,64.01,,8.05,,2018,2,0
292.31,,82.39,,11.87,,2020,0,1
347.03,,66.66,,24.12,,2019,2,0
380.29,,70.36,,45.99,,2022,0,1
382.58,,67.67,,8.0,,2023,2,0
355.25,,60.64,,13.87,,2018,1,1
414.26,,87.7,,9.74,,2021,1,0
321.28,,72.48,,83.39,,2019,1,0
372.17,,82.87,,43.85,,2022,0,1
386.62,,82.45,,26.55,,2024,2,1
408.29,,62.32,,123.33,,2022,1,0
419.14,,84.16,,55.91,,2023,1,0
318.14,,77.03,,113.05,,2021,2,0
295.62,,61.59,,38.23,,2023,2,0
450.27,,76.49,,8.0,,2023,1,0
398.28,,61.77,,47.26,,2020,2,1
338.83,,88.06,,9.45,,2023,5,1
465.31,,80.14,,17.83,,2021,2,1
386.36,,71.29,,29.93,,2024,0,0
444.86,,84.65,,8.0,,2020,0,0
383.71,,56.18,,8.0,,2024,1,0
493.34,,64.51,,16.64,,2022,2,1
476.54,,69.48,,73.04,,2021,2,0
366.31,,94.36,,8.0,,2021,2,0
433.44,,61.3,,8.0,,2018,1,0
415.5,,54.93,,69.06,,2024,1,0
455.27,,57.56,,15.33,,2020,1,0
326.93,,81.06,,116.93,,2024,1,1
417.73,,66.06,,20.09,,2024,0,1
438.21,,70.41,,66.91,,2021,0,1
283.27,,79.63,,12.58,,2020,0,0
314.92,,70.42,,8.0,,2022,1,1
267.84,,74.04,,89.6,,2024,2,1
365.18,,77.35,,110.1,,2024,0,0
419.46,,67.69,,51.72,,2022,0,0
462.63,,70.34,,61.74,,2022,2,1
384.08,,74.42,,8.0,,2022,0,1
469.57,,80.68,,58.87,,2024,1,0
304.09,,64.08,,26.84,,2024,3,0
286.31,,41.79,,25.32,,2021,0,1
376.94,,78.8,,32.62,,2024,1,1
401.12,,81.28,,13.29,,2024,1,1
378.2,,74.0,,50.05,,2022,2,1
266.29,,74.68,,14.72,,2022,1,0
375.1,,66.36,,34.35,,2024,2,0
308.25,,77.0,,8.0,,2024,1,1
416.83,,80.53,,47.21,,2022,1,0
400.16,,72.56,,8.83,,2022,2,1
328.31,,96.91,,8.0,,2021,0,0
351.74,,56.36,,8.0,,2020,0,0
321.74,,73.63,,8.0,,2024,1,0
376.55,,60.26,,11.12,,2020,4,0
432.53,,80.8,,10.56,,2024,0,0
325.79,,56.19,,16.67,,2022,0,0
407.72,,58.66,,8.0,,2019,2,1
350.84,,65.67,,114.93,,2021,2,1
336.39,,74.66,,8.0,,2019,1,1
374.11,,66.05,,50.84,,2024,0,1
323.06,,66.15,,32.17,,2021,1,0
349.55,,70.19,,33.8,,2023,2,0
314.12,,69.58,,8.0,,2022,6,1
488.06,,86.87,,11.7,,2023,0,0
381.94,,78.86,,63.57,,2021,0,1
341.52,,68.75,,26.17,,2019,1,1
391.77,,92.97,,25.65,,2024,1,1
373.82,,76.92,,33.16,,2023,1,0
367.85,,62.31,,23.89,,2019,0,0
413.78,,74.57,,68.91,,2023,2,1
421.66,,77.36,,58.01,,2022,2,1
350.82,,65.12,,16.01,,2020,1,1
348.33,,61.47,,70.21,,2024,2,0
364.87,,72.86,,30.7,,2023,0,0
253.39,,68.4,,41.5,,2022,2,0
296.66,,86.79,,84.47,,2020,2,0
455.18,,79.41,,27.14,,2022,1,0
470.47,,65.59,,59.29,,2020,1,0
366.3,,76.26,,41.54,,2020,0,0
411.71,,84.67,,23.37,,2020,3,1
397.12,,58.06,,65.36,,2023,0,0
549.34,,61.77,,8.0,,2023,1,0
441.58,,71.89,,36.56,,2019,1,0
372.96,,72.36,,8.0,,2023,0,0
327.45,,71.48,,8.0,,2018,1,0
291.65,,68.89,,38.37,,2024,3,0
391.19,,68.74,,15.44,,2023,2,0
338.4,,75.84,,12.79,,2023,3,0
301.78,,83.34,,131.04,,2020,1,1
344.44,,67.19,,19.13,,2024,0,0
320.51,,96.38,,34.94,,2024,1,0
472.79,,91.61,,32.09,,2022,1,1
428.49,,85.29,,8.0,,2018,0,0
379.56,,78.22,,47.11,,2022,2,1
461.4,,92.08,,30.21,,2020,0,0
384.26,,69.1,,20.17,,2022,1,0
332.63,,63.67,,8.0,,2024,0,1
463.77,,66.74,,14.56,,2023,1,0
409.64,,61.97,,90.51,,2021,2,0
322.95,,73.22,,8.01,,2021,0,0
369.53,,75.0,,10.4,,2024,3,1
331.84,,74.01,,9.65,,2019,2,1
303.95,,71.88,,93.01,,2024,0,1
430.94,,73.33,,50.57,,2019,1,1
485.02,,89.36,,89.7,,2022,0,1
303.08,,78.2,,102.92,,2023,3,1
410.96,,81.23,,110.49,,2021,2,0
344.21,,73.91,,27.93,,2022,1,0
353.21,,55.84,,27.16,,2022,1,1
347.42,,53.86,,74.16,,2023,2,1
332.48,,92.83,,16.94,,2020,3,0
382.67,,66.68,,8.0,,2022,0,1
334.3,,65.83,,16.92,,2024,2,1
394.88,,74.46,,52.92,,2020,1,0
377.24,,77.5,,8.0,,2019,2,0
366.86,,78.77,,64.52,,2021,1,1
330.08,,89.74,,70.98,,2021,1,1
348.28,,87.01,,8.0,,2019,2,1
421.55,,63.89,,8.0,,2022,0,0
407.55,,81.69,,9.31,,2022,2,0
326.23,,68.16,,18.51,,2024,1,0
385.46,,70.62,,31.96,,2022,0,1
421.33,,61.06,,27.91,,2024,1,0
288.18,,55.07,,80.58,,2023,2,1
409.88,,71.68,,8.0,,2022,0,1
343.56,,62.44,,50.23,,2022,2,1
411.38,,81.28,,33.43,,2024,0,0
338.02,,69.19,,56.07,,2023,0,1
280.73,,75.09,,17.58,,2023,1,0
290.49,,85.68,,26.77,,2021,1,0
382.64,,57.15,,8.0,,2022,1,0
394.28,,64.75,,8.0,,2023,0,0
330.26,,73.81,,19.74,,2023,0,1
415.12,,75.13,,27.57,,2024,2,1
288.62,,83.03,,8.0,,2024,0,0
376.37,,80.67,,73.2,,2022,1,1
313.39,,72.97,,122.63,,2021,0,0
344.15,,75.03,,38.11,,2019,2,1
382.61,,75.31,,8.0,,2022,3,0
332.68,,57.3,,56.39,,2020,1,0
358.85,,70.44,,10.28,,2018,3,0
435.35,,74.48,,55.56,,2020,0,1
348.27,,76.59,,23.93,,2022,0,1
425.96,,62.76,,8.0,,2024,3,1
317.87,,59.31,,13.72,,2021,3,0
409.14,,69.65,,23.39,,2022,1,0
459.29,,91.67,,55.98,,2021,2,0
244.06,,63.81,,8.0,,2021,0,1
336.17,,83.74,,14.21,,2023,0,0
411.74,,87.85,,8.0,,2022,4,0
368.83,,72.45,,40.18,,2022,2,1
400.41,,65.2,,27.0,,2024,2,1
346.78,,77.13,,111.1,,2021,2,1
384.76,,73.95,,56.67,,2024,3,1
371.44,,63.41,,63.19,,2022,1,0
444.23,,65.41,,8.0,,2022,1,0
393.99,,76.54,,13.02,,2019,1,0
398.57,,81.33,,30.23,,2024,1,0
357.35,,68.77,,8.0,,2021,0,0
353.18,,71.31,,85.73,,2023,0,0
356.21,,78.69,,63.16,,2024,1,1
401.69,,70.28,,8.0,,2022,1,0
356.85,,69.01,,79.41,,2023,2,0
395.94,,64.45,,8.0,,2021,1,0
494.15,,64.27,,8.0,,2023,1,1
427.91,,98.69,,8.0,,2023,0,0
362.07,,70.04,,27.4,,2022,3,0
446.07,,85.65,,64.37,,2023,0,0
357.56,,88.84,,8.26,,2021,1,1
267.9,,70.16,,62.0,,2023,2,0
324.56,,75.68,,8.59,,2023,3,0
277.11,,73.02,,195.73,,2022,2,0
360.67,,55.88,,80.66,,2020,3,0
381.01,,56.48,,56.13,,2024,0,0
472.2,,72.49,,37.62,,2023,0,0
397.98,,67.75,,11.67,,2019,0,1
367.95,,90.92,,8.0,,2022,0,0
425.62,,69.63,,25.9,,2019,0,0
258.39,,91.51,,21.64,,2021,0,1
392.96,,67.24,,47.14,,2022,0,1
422.4,,91.12,,8.0,,2020,0,0
298.68,,77.06,,34.68,,2022,0,0
442.91,,77.63,,49.65,,2023,0,0
398.62,,66.88,,14.92,,2022,1,1
357.16,,77.77,,63.6,,2020,0,1
414.8,,88.93,,23.75,,2022,0,0
504.89,,70.55,,8.0,,2022,2,0
390.0,,68.61,,9.1,,2024,0,1
393.65,,69.53,,13.73,,2022,2,0
354.74,,88.2,,8.0,,2024,1,1
333.26,,80.55,,34.76,,2024,2,1
425.67,,86.48,,125.11,,2022,3,0
332.92,,75.14,,95.09,,2020,0,1
383.94,,72.39,,16.43,,2024,0,0
353.73,,76.24,,84.0,,2024,0,0
406.34,,82.7,,129.34,,2024,1,1
398.35,,69.53,,14.63,,2024,1,0
437.06,,85.69,,98.99,,2021,1,1
351.95,,75.66,,240.0,,2021,1,0
365.16,,47.94,,67.11,,2023,1,1
326.17,,80.83,,20.78,,2022,0,1
355.56,,59.28,,39.39,,2024,0,0
400.75,,80.59,,19.02,,2021,2,0
421.63,,81.02,,231.5,,2023,1,1
329.28,,75.3,,8.0,,2024,2,0
427.83,,77.44,,93.9,,2020,0,0
454.56,,82.99,,8.0,,2021,1,0
402.74,,67.04,,8.0,,2022,1,1
483.22,,79.93,,118.12,,2019,1,0
337.44,,83.63,,84.82,,2020,2,1
311.54,,89.6,,18.85,,2021,1,0
282.17,,60.94,,132.68,,2019,2,1
462.28,,76.09,,83.14,,2021,1,0
415.99,,62.39,,97.55,,2020,2,0
376.94,,61.96,,37.97,,2024,1,0
395.4,,75.59,,133.47,,2023,1,0
318.1,,72.77,,69.66,,2024,1,1
514.52,,83.45,,118.13,,2020,0,1
387.11,,68.54,,13.89,,2019,3,0
386.02,,70.66,,31.9,,2021,0,1
419.92,,74.12,,84.94,,2019,1,0
406.46,,63.38,,36.41,,2024,1,0
392.31,,64.77,,67.83,,2020,4,1
336.52,,83.16,,151.85,,2020,0,0
405.93,,66.51,,68.57,,2023,3,1
483.51,,83.82,,15.91,,2023,2,1
454.0,,78.07,,8.0,,2019,1,1
467.63,,56.52,,13.38,,2022,1,0
351.88,,77.3,,45.66,,2022,1,1
325.57,,77.22,,8.0,,2021,0,0
373.08,,76.23,,8.84,,2019,0,1
383.06,,70.58,,16.63,,2023,2,0
440.18,,62.6,,87.41,,2020,0,0
286.91,,85.46,,8.0,,2022,0,0
